regionname,statename,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
New York,New York,,466433.3333,474750,483691.6667,489241.6667,518291.6667,537025,542558.3333,555475,566125,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817
Los Angeles,California,353725,339916.6667,347141.6667,443841.6667,459608.3333,493125,530608.3333,568141.6667,638983.3333,706516.6667,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
Houston,Texas,134650,134650,139950,158116.6667,168775,170983.3333,180991.6667,191100,197275,208925,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268
Chicago,Illinois,205200,182666.6667,181566.6667,211350,238950,236675,219291.6667,226908.3333,246716.6667,269500,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976
San Antonio,Texas,131391.6667,131633.3333,135691.6667,144908.3333,154175,164875,171508.3333,177775,188141.6667,197491.6667,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253
Philadelphia,Pennsylvania,112116.6667,106300,105225,109616.6667,118750,118850,123408.3333,140625,142633.3333,161241.6667,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064
Phoenix,Arizona,96675,83533.33333,99458.33333,130908.3333,139983.3333,158608.3333,177425,193991.6667,217108.3333,232350,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
Las Vegas,Nevada,122091.6667,107441.6667,115700,150508.3333,170016.6667,184691.6667,196850,221083.3333,254250,269450,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319
San Diego,California,346383.3333,331975,352508.3333,419300,450216.6667,476616.6667,504141.6667,543366.6667,586733.3333,600383.3333,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851
Dallas,Texas,165425,172966.6667,201166.6667,232908.3333,242200,254450,270550,288341.6667,297833.3333,301116.6667,1200350,1218282,1242115,1258835,1279098,1301329,1323916,1342479,1341802,1343573
Austin,Texas,222358.3333,224141.6667,234991.6667,254541.6667,271716.6667,294775,317516.6667,336816.6667,354350,373300,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908
