city,state,Rank,Estimates_Base,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,Est_2019_Population,Average_Annual_Salary,ZORI_2020-06,Avg_Annual_Rainfall,Lowest_Monthly_Avg_High_Temp,Highest_Monthly_Avg_High_Temp,Violent_Crime_Rate,Property_Crime_Rate,US_News_Overall_Score,US_News_State_Overall_Rank,Data_Scientist_Job_Postings
New York, New York,1,8175031,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817,19216182,63079,2626,49.9,38,84,329,1337,6.3,25,214
Los Angeles, California,2,3793139,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576,13214799,53803,2500,12.8,64,75,458,2363,6.1,19,68
Chicago, Illinois,3,2695652,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976,9458539,54160,1727,36.9,31,84,326.6,1979.3,6.1,35,99
Houston, Texas,4,2095517,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268,,,1480,,,,,,6.8,38,23
Phoenix, Arizona,5,1446691,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992,4948203,49500,1466,8,66,106,470.6,2814.5,6.9,34,15
Philadelphia, Pennsylvania,6,1526012,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064,,,1569,,,,,,6.1,41,51
San Antonio, Texas,7,1326161,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253,2550960,46200,1306,32.3,63,96,523.9,3028.2,6.8,38,21
San Diego, California,8,1301929,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851,3338330,56410,2311,10.3,65,76,337.1,1695.5,6.8,19,29
San Jose, California,10,952528,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795,1990660,77180,3083,14.9,60,83,308.8,2275.1,7.1,19,200
Austin, Texas,11,801829,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908,2227083,51840,1565,32.2,62,96,306.3,2343.4,7.6,38,36
Jacksonville, Florida,12,821750,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507,1559514,45760,1380,49.2,65,91,480.8,2777.6,6.7,13,3
Columbus, Ohio,14,789018,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553,2122271,50020,1263,39.3,36,85,290.7,2749.3,6.7,39,30
Charlotte, North Carolina,15,735607,738444,754829,773264,792047,807400,825668,843117,860002,872514,885708,2636883,50150,1461,41.6,51,89,416.2,2731.9,7,18,13
San Francisco, California,16,805184,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,4731803,69700,3134,20.7,56,74,476.6,2199.8,7.3,19,190
Indianapolis, Indiana,17,820457,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384,,,1162,,,,,,6.7,36,6
Seattle, Washington,18,608661,610630,622694,635928,653588,670109,687386,709631,728661,742235,753675,3979845,63120,1983,37.5,46,76,353.7,1963.6,7.2,1,141
Denver, Colorado,19,599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,2967239,57400,1751,14.3,43,89,413.9,1600.9,7.4,10,42
Washington, District of Columbia,20,601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,,,2066,,,,,,7,,582
Boston, Massachusetts,21,617792,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600,4873019,65420,2601,43.8,36,81,305.3,1291,6.9,8,141
El Paso, Texas,22,648245,650671,664404,674941,674808,677235,676242,679955,681343,679875,681728,,,1139,,,,,,6,38,0
Nashville, Tennessee,23,603438,604589,612518,625550,635999,645259,655498,661765,663587,667006,670820,1934317,47110,1608,47.3,47,89,624.9,2558.6,7.1,30,11
Detroit, Michigan,24,713898,711131,705118,700183,691868,682609,679410,677143,674631,672977,670031,,,1164,,,,,,6.3,33,14
Oklahoma City, Oklahoma,25,580462,582516,590947,600971,612061,621639,632172,639924,642822,647912,655057,,,1058,,,,,,6.5,43,4
Portland, Oregon,26,583793,585429,595451,604264,609890,620510,631366,642720,647924,650837,654741,2492412,55330,1630,36,46,81,283.2,1877.9,7.2,27,17
Las Vegas, Nevada,27,584489,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319,,,1424,,,,,,6.5,37,0
Memphis, Tennessee,28,651873,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073,,,1279,,,,,,5.6,30,4
Baltimore, Maryland,30,620770,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490,,,1614,,,,,,6.1,6,94
Milwaukee, Wisconsin,31,594498,594865,597086,598569,599916,600664,600477,596996,593725,591375,590157,1575179,50070,1076,34.8,29,80,680.5,2545.9,6.5,11,3
Albuquerque, New Mexico,32,546153,546755,552066,555002,557445,557444,557937,559192,559673,559629,560513,,,1130,,,,,,6.1,46,1
Tucson, Arizona,33,526634,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073,,,1218,,,,,,6.4,34,1
