,city,state,2010 Avg Price,2013 Avg Price,2014 Avg Price,2015 Avg Price,2016 Avg Price,2017 Avg Price,2018 Avg Price,2019 Avg Price
0,New York,New York,457300.0,483691.67,490233.33,518291.67,537025.0,542558.33,555475.0,566609.09
1,Los Angeles,California,353725.0,443841.67,459833.33,493125.0,530608.33,568141.67,638983.33,706027.27
2,Houston,Texas,134650.0,158116.67,168950.0,170983.33,180991.67,191100.0,197275.0,208700.0
3,Chicago,Illinois,205200.0,211350.0,239450.0,236675.0,219291.67,226908.33,246716.67,269990.91
4,San Antonio,Texas,131391.67,144908.33,154241.67,164875.0,171508.33,177775.0,188141.67,196954.55
5,Philadelphia,Pennsylvania,112116.67,109616.67,118716.67,118850.0,123408.33,140625.0,142633.33,161136.36
6,Phoenix,Arizona,96675.0,130908.33,140141.67,158608.33,177425.0,193991.67,217108.33,231663.64
7,Las Vegas,Nevada,122091.67,150508.33,170091.67,184691.67,196850.0,221083.33,254250.0,269200.0
8,San Diego,California,346383.33,419300.0,450341.67,476616.67,504141.67,543366.67,586733.33,599781.82
9,Dallas,Texas,165425.0,232908.33,242150.0,254450.0,270550.0,288341.67,297833.33,299890.91
10,Austin,Texas,222358.33,254541.67,271683.33,294775.0,317516.67,336816.67,354350.0,372172.73
11,San Jose,California,451350.0,582575.0,641625.0,704808.33,760125.0,841975.0,1015750.0,945400.0
12,Jacksonville,Florida,97366.67,83475.0,82375.0,89891.67,108425.0,127475.0,141800.0,161718.18
13,Indianapolis,Indiana,,,,,,131357.14,139008.33,150954.55
14,San Francisco,California,686766.67,832041.67,961533.33,1102425.0,1166108.33,1205958.33,1316725.0,1338009.09
15,Charlotte,North Carolina,138550.0,157308.33,168675.0,179925.0,185566.67,187350.0,214858.33,233118.18
16,Fort Worth,Texas,120541.67,137491.67,148083.33,162391.67,178116.67,195791.67,209275.0,218554.55
17,Tucson,Arizona,138033.33,144291.67,150541.67,148225.0,162308.33,175475.0,187850.0,201136.36
18,Columbus,Ohio,100550.0,101600.0,114266.67,126516.67,130283.33,139325.0,146925.0,157909.09
19,Louisville,Kentucky,121533.33,122700.0,129158.33,139491.67,148975.0,155066.67,161125.0,173463.64
20,Orlando,Florida,88033.33,131033.33,147391.67,162491.67,181450.0,199000.0,232925.0,242709.09
21,El Paso,Texas,133625.0,127633.33,125825.0,125166.67,126950.0,132725.0,137933.33,146290.91
22,Denver,Colorado,196966.67,255833.33,264491.67,303516.67,338075.0,373533.33,414666.67,421790.91
23,Seattle,Washington,380591.67,405116.67,425750.0,465225.0,529441.67,619891.67,694733.33,687381.82
24,Memphis,Tennessee,56725.0,68041.67,80975.0,82741.67,86241.67,93925.0,95866.67,100781.82
